"37","9","47","43",
"38","33","112","45",
"41","31","24","43",
"43","2","17","43",
"44","30","102","43",
"46","41","86","43",
"47","37","79","43",
"48","43","116","43",
"49","85","194","43",
"50","87","195","43",
"51","81","188","43",
"52","82","189","43",
"53","98","225","43",
"54","106","279","43",
"55","103","269","43",
"56","117","296","43",
"58","121","311","43",
"59","116","297","43",
"60","118","286","43",
"61","120","308","338",
"64","122","324","337",
"65","123","328","337",
"66","129","342","43",
"67","128","341","43",
"68","131","347","43",
"69","132","349","43",
"70","127","310","337",
"71","130","344","43",
"72","119","273","370",
"73","134","353","337",
"74","137","362","337",
"75","138","373","337",
"76","139","374","337",
"77","141","381","337",
"81","143","394","338",
"82","145","402","338",
"85","143","394","338",
"86","145","402","408",
"87","147","411","43",
"88","148","418","43",
"90","152","352","337",
"91","155","422","337",
"92","158","461","337",
"93","159","468","337",
"94","160","477","337",
"95","159","468","337",
"96","161","478","337",
"97","156","428","337",
"98","164","489","337",
"99","167","493","337",
"100","172","491","43",
"102","141","381","43",
"103","152","352","337",
"104","168","434","338",
"105","160","477","337",
"106","157","437","338",
"107","176","510","43",
"108","142","388","43",
"109","173","505","337",
"110","174","506","337",
"111","174","506","511",
"112","162","480","337",
"113","175","509","337",
"114","136","356","511",
"115","177","382","337",
"116","174","506","511",
"117","174","506","511",
"118","142","388","511",
"119","178","548","511",
"120","175","509","511",
"121","179","547","337",
"122","182","202","511",
"123","183","553","338",
"124","175","509","511",
"125","184","404","337",
"126","183","553","338",
"127","184","404","337",
"128","189","588","511",
"129","188","583","337",
"130","187","578","337",
"131","181","566","43",
"132","187","578","337",
"133","188","583","337",
"134","155","422","337",
"135","191","602","511",
"136","192","604","511",
"137","193","606","337",
"138","195","609","43",
"139","194","607","337",
"140","196","605","337",
"141","198","491","43",
"142","200","618","511",
"143","194","607","337",
"144","193","606","337",
"145","155","422","337",
"146","194","607","337",
"147","201","624","511",
"148","205","626","43",
"149","203","622","338",
"150","204","625","511",
"151","207","346","511",
"152","206","627","337",
"153","208","635","337",
"154","175","509","511",
"155","210","643","511",
"156","213","618","511",
"157","221","668","337",
"159","221","668","511",
"160","221","668","511",
"161","223","588","511",
"162","225","677","337",
"163","227","554","337",
"164","224","678","338",
"165","222","673","337",
"166","226","644","511",
"167","228","692","511",
"168","185","576","337",
"169","199","615","511",
"170","231","708","337",
"171","233","553","338",
"172","233","553","338",
"173","236","712","511",
"174","235","669","338",
"175","239","622","338",
"176","243","504","337",
"177","242","726","511",
"178","244","728","511",
"179","246","732","337",
"181","249","745","337",
"182","241","721","338",
"183","238","717","337",
"184","251","296","761",
"185","248","743","511",
"186","253","734","511",
"187","253","734","337",
"188","254","611","338",
"189","252","269","337",
"190","255","756","511",
"191","256","758","760",
"192","247","741","338",
"193","261","774","511",
"194","259","673","511",
"195","257","765","337",
"196","260","775","338",
"197","262","778","787",
"198","221","668","511",
